id;host;guest;valid_from;valid_to;invite_status
1;XML monitoring;Re-engineered;2021-02-24T09:21:05;2021-02-24T09:10:13;CANCELLED
2;Operations;copying payment;2021-02-24T13:01:52;2021-02-24T09:23:09;ACCEPTED
3;back-end;program Handcrafted Steel Car;2021-02-24T03:54:09;2021-02-24T04:57:19;PENDING
4;Grocery Refined fuchsia;pink Credit Card Account Florida;2021-02-24T16:01:02;2021-02-23T20:53:42;CANCELLED
5;invoice Buckinghamshire;Berkshire extranet lime;2021-02-23T20:49:08;2021-02-24T07:45:38;ACCEPTED
6;Indiana Lane;Licensed Steel Gloves application Gloves;2021-02-24T11:34:41;2021-02-24T05:44:58;CANCELLED
7;software;asymmetric;2021-02-24T01:57:28;2021-02-24T15:04:37;EXPIRED
8;Bike;Outdoors Wisconsin FTP;2021-02-23T21:44:38;2021-02-23T21:02:04;EXPIRED
9;deliverables Generic Chad;Moldovan Leu;2021-02-23T20:12:44;2021-02-23T23:50:56;ACCEPTED
10;Focused;markets executive turn-key;2021-02-24T02:52:31;2021-02-24T09:06:30;EXPIRED
