id;start;stop;property_type;house_number;block;apartment_name;street_name
1;2021-02-24T07:55:28;2021-02-24T11:54:14;HOUSE;copy Total;bandwidth;El Salvador Soap;Fay Trail
2;2021-02-24T13:30:03;2021-02-24T11:00:03;APARTMENTS;radical Central dot-com;virtual;target North Carolina Research;Braden Ferry
3;2021-02-24T04:12:50;2021-02-24T14:01:37;HOUSE;programming Tactics;Unbranded Wooden Shirt Forges;Ergonomic Steel Fish emulation 24 hour;Armstrong Loaf
4;2021-02-23T21:52:56;2021-02-23T22:49:48;HOUSE;Cambridgeshire Guyana Dollar;invoice withdrawal;matrix FTP;Gaylord Mountains
5;2021-02-24T13:36:04;2021-02-24T10:46:07;APARTMENTS;synergies back-end Fish;SMS;Buckinghamshire;Ruecker Brook
6;2021-02-24T13:46:11;2021-02-24T15:34:39;HOUSE;Specialist 3rd generation;flexibility;Checking Account Mount ROI;Ayana Isle
7;2021-02-24T10:59:00;2021-02-24T01:56:50;APARTMENTS;transmit withdrawal;Computer;Montana Investment Account Grass-roots;Murazik Oval
8;2021-02-24T19:02:50;2021-02-24T15:40:34;HOUSE;synthesizing Sri Lanka Rupee;implement Generic;Cotton;Erica Falls
9;2021-02-23T19:54:48;2021-02-23T20:32:38;HOUSE;optical Land;mint green Towels;web-readiness;West Station
10;2021-02-24T10:09:29;2021-02-24T07:06:12;HOUSE;leading-edge secondary Skyway;Chips USB;Anguilla generating;Davis Viaduct
