id;residential_property_id;type;owner_id;house_number;block;apartment_name;street_name;city;country
1;45089;APARTMENTS;15574;auxiliary New Hampshire South Carolina;Money Market Account Interactions copying;lavender;Rubie Manors;Port Buckport;KENYA
2;96847;HOUSE;67812;out-of-the-box port withdrawal;Hat;Communications Arizona;Dietrich Summit;New Ovashire;KENYA
3;31634;HOUSE;8908;Generic Investor;Kyat Practical Cotton Mouse Rustic Rubber Hat;mission-critical;Johnson Track;South Carolina;OTHER
4;16270;HOUSE;32215;encompassing task-force out-of-the-box;scalable virtual open architecture;Bedfordshire Intelligent Steel Table magnetic;Robin Extensions;Blickland;OTHER
5;71817;APARTMENTS;92086;users;compelling;Afghani;Streich Point;North Dawn;KENYA
6;37108;HOUSE;96822;Buckinghamshire Afghanistan;Applications CSS;Handmade Walks tertiary;Langworth Key;Ruthside;KENYA
7;13571;APARTMENTS;64046;GB;solution Israel systematic;protocol moratorium HTTP;Gleichner Mission;Jabariland;OTHER
8;77048;HOUSE;50221;Dynamic;Indian Rupee Ngultrum navigating;Terrace;Edna Heights;West Torrance;OTHER
9;34345;APARTMENTS;77212;front-end Fresh;withdrawal multi-state Nauru;Bedfordshire;Nicola Ramp;Trompland;KENYA
10;44235;HOUSE;9375;capability partnerships;purple calculate Enterprise-wide;Generic Fresh Chair approach;Nolan Avenue;East Horaciotown;KENYA
